등급분류번호,게임물명,제작자,자체등급,자체등급분류사업자,결정일자,구분,결정등급
-,Block Smash Adventure,Kescen BANEK,4+,Apple,2025-11-20,등급취소,등급취소
-,Chip Sort Go,KIM LONG IMPORT EXPORT AND PRODUCTIO N TRADING COMPANY LIMITED,4+,Apple,2025-11-20,등급취소,등급취소
-,Powerful Bufallo,Gabriel Garrido,4+,Apple,2025-11-20,등급취소,등급취소
-,Golden Moon Games,Tamar Kaladraze,4+,Apple,2025-11-20,등급취소,등급취소
-,Clover Leprechaun Games,Ariel Harpaz,4+,Apple,2025-11-20,등급취소,등급취소
-,Golden Buffy,SUSAN MARGARET MIDDLETON,4+,Apple,2025-11-20,등급취소,등급취소
-,Coffee Sort: Pack Color,Racing and Mega Ramp Stunt,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Word Cash - Real Cash Prizes,N Workshop,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Ape Claw,it.workshop. comp,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Planet 2048 Merge,theboutique,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Penny Pusher Pirates,Industrial Assets Ltd,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Coin Dozer,springdays,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Super Cake: Sort Jam & Room,HK GX GAMES,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,WordsToWin: Earn Real Bitcoin,PlayfulCoins,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,로디의 대모험,(주)엘루오씨 앤씨,전체이용가,"구글,애플 (간소화)",2025-11-20,등급취소,등급취소
-,Drop Balls XY - Plink Balls,JOKER GAME BILISIM ANONIM SIRKETI,전체이용가,구글 (간소화),2025-11-20,등급취소,등급취소
-,Crazy 3D 2048 - Real Cash,16Bit,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Plinko Match,Muhammad Irfanh,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Lucky Drop Winner,ALEXANDER DEJARNETT E,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Ocean Abyess Frenzy Money,AHMED IBRAHIM HELAL,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Fruit Merge Party: Win Rewards,RahmaTech no,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,happy 3 tiles : win real money,zzhou,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Fruit Maker : Fun Merge,Nao Chanelling Domain Platform,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Screw Carnival,Brightrain Labs,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Amazing 2048 Merge,Coins Kuber,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Mystic Drop,KDECPU,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Mega Coin Pusher:Fun & Wins,Creashiv,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Quiz Tycoon - Trivia Game,QB Meet Adult Singles Flirt,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Shark King Fortune Wheel,Tropiqo Games,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Gem Tile 2025 Cash,AHMED IBRAHIM HELAL,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Goods Classify Master,PonnerHut.c om,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Fun Jade,United Gaming Xone,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,PomoPlin,AfrmoneDev,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,BitCoin Whale: Earn BTC,DeepAi intelligence,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Halloween Farm,Israa elsaed,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Screw Sort Master,ThakBe OPC,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Color Match: 2048 Puzzle,peng pan,17+,Apple,2025-11-20,등급취소,등급취소
-,Renegade,Emerging Markets Apps,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Yummy Stack Shelf,ROBINSON COREY CORNEL,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Fruit Popper,BabaFadil Abdulkarim Mbazira,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,The Fever - Retro Arcade,BEST SOLUTION LLC,4+,Apple,2025-11-20,등급취소,등급취소
-,Ring MergeLine: Happy Puzzle,? ?,17+,Apple,2025-11-20,등급취소,등급취소
-,BubblegramQuest,丹? 樊,4+,Apple,2025-11-20,등급취소,등급취소
-,Classic Ludo: Dice Board Game,Dreamland Games Inc.,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Bingo Boom Boom,Creashiv,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Chips Puzzle Master,Busy Squirrel,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Eastern Nights,Vladyslav Shuliar,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Words Search to win,Serious Inc.,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Candy Merge:2048 puzzle,Zardix,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Cards Club (With Carioca game),Moonfrog,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Word Connect-Real Cash Prizes,LHL Games,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,8 Ball Pool,Miniclip.com,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Chik Chik Chicken,Transistor Apps,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Rock Paper Scissors,HyunPro,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
-,Beauty Surprises,DNDROIDE,전체이용가,GOOGLE,2025-11-20,등급취소,등급취소
RE-OM-250109-001,Zombie Defense: Idle Survivors,SkyRise Games,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-002,Elite Agent Hunt Shooting,Team AS Studio Pvt Ltd,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-003,Fps Shooting Indian Game,SAHARA STEPS,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-004,Gangster Game Vegas Mafia City,iPlay Gamez,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-005,Agent Hunt Hitman Shooting,360 Gaming Studio,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-006,Gangster City Wars: Gang Games,InfinityGame s Studio,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-007,Grand Gangster Game Crime City,FanTech Games,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-008,Gun Net Hero - Superhero Games,Factorial Studio,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-009,Gangster City Mafia Throne War,Gamtroller,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-010,Alien Hunter: Last Survivor,LeevertiseG ame,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-011,Critical Ops Gun Strike Shoot,Global Phantom Lab Games,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-012,Freedom Fighter World War Game,Mob 3D Gamers,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-013,Sniper Pro: Shooting Gun Game,Game Blinders,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-014,Deathbound,TATE MULTIMEDI A S.A,15세이용가,Sony,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-015,Archery Master: bow and arrows,"HappyTapLa nd Technology Co., Ltd.",12+,Apple,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-016,Gangster Simulator Mafia Vegas,HUSNAIN MUSHTAQ MALIK,12+,Apple,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-017,Ninja Samurai Fight,hagear sambak,12+,Apple,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-018,Sniper Shooting Gun Games,Muhammad Rafique,9+,Apple,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-019,Battle Harbor - india,SANJU DAS,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-020,Evil Creature Horror Survival,MUHAMMAD ZOHAIR,12+,Apple,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-021,Bloodhound,Kruger & Flint Productions,15세이용가,Microsoft,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-022,Shadow Action,MonkeyFly,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-023,FPS commando shooting games - Offline Gun Shooting Game - FPS Commando Secret Mission -Modern war weapons - COD Modern Warfare - Offline shooting game,Arslan Arshad,15세이용가,Samsung Eelctronics,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-024,City Thief Gangster,Phoenix apps,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-025,Undead Frenzy,D.T.A Studio,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-026,Sker Ritual,Wales Interactive,15세이용가,Microsoft,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-027,Hard Line,Sky Yurt,15세이용가,Oculus,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-028,Zombie Shooting Survival Games,Crazy Fox Studio,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-029,Shadows of Horror,game bit,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-030,Offroad BMX Rider: Cycle Game,Gamination,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-031,Gun Games - FPS Shooting Game,Offline Battlegroun d Games,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-032,War Sniper Games: FPS Shooting,Fun Fire Hero Adventure Games,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-033,Sniper 3D: Ultimate Assassin,Modern Zombie Games,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-034,Vegas Gangster Car Theft Transport,Gamestr - Car Moto Bike Racing Games,전체이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-035,Godzilla x kong City Attack 3D,Secret Dragon Games,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-036,FPS Shooting Commando Games 3d,Graystork INC,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-037,Gun Shoot War Strike FPS Games,Fun Hero Brother Games,15세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-038,Real Arrow: Raider Hunter,LivaGamesP layStore,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-039,Western Cowboy Zombie Hunter,RAY Games,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-040,Ambush Zombie 2,Darie Productions,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-041,Mahjong Maya,LazyLand SA,12세이용가,Samsung Eelctronics,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-042,Blackjack 21,ARKA OVERSEAS LLP,전체이용가,Samsung Eelctronics,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-043,Blackjack Blitz: Take on the Dealer!,Novastar Games,전체이용가,Samsung Eelctronics,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-044,3D Custom Wife: Story Mode,Loxick,12세이용가,Google Play,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250109-045,에코칼립스: 진홍의 서약,Yoozoo (Singapore) Pte. Ltd,15세이용가,-,2025-01-09,직권등급재분류,청소년이용불가
RE-OM-250116-001,Battle Shooting Fps Games,Boom Games Studio Inc,15세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-002,Monster Kill: Shooter Gun Game,Boom Club shooting games,15세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-003,Gangster Mafia Crime Game,Darwin Games,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-004,Lost Zombie Land,BazziBazzi.c om,15세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-005,Bunny Battle Nemesis,DCF Studios,12세이용가,Microsoft,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-006,Antarctica 88: Scary Horror,Anton Nazarov,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-007,Earn to Die Rogue,Not Doppler,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-008,Red Runner 3d,Invent4.com,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-009,Sons of the Scary Forest Game,Umair Nasir,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-010,Alien Sniper,Rocinante Games,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-011,Draw Cop,Meko Games,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-012,Wild Hunt Z,omer cetin,4+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-013,Zombie Field,KSgaming,전체이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-014,GeoZombie,"Posterum Software, LLC",12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-015,Monster Hunt Dead Survival,Sehrish Majeed,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-016,Zombie New Land,Juan Martin Ruben,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-017,Zombie Shooter: Shooting Games,Abdur Rafay,12+,Apple,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-018,Ultimate Strike: Battle Arena,InoCreative Studio,15세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-019,Zombies DNA: 3d Zombie game,Adk Developer,전체이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-020,Zombie Battlefield,Burning Bunny Studio,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-021,Scary Spider Horror Train Game,Knight Wolf,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-022,Phantom Fire,First IT Group,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-023,Frontline Cover Fire Commando,10GAN,전체이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-024,Zombie: Operation Attack,PunGang,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-025,Shooter Hunt: Spy Agent,Players Junction,전체이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-026,Cowboy Hunt Shooter,Game Nitro Studio,15세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-027,US Police Gun Shooting Games,Vroom - Apps & Games,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-028,free for fire battle royale Pub Squad G Battleground Shooting Game,GOLD CLOUD STUDIO (SMC-PRIV ATE) LIMITED,12세이용가,Samsung Eelctronics,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-029,Wild Fruit - Slot Machine Game,PT IKRON,전체이용가,Samsung Eelctronics,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-030,Bomb Roulette,StormyGam es,12세이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250116-031,Onet Girls,Puzzle Sweeps,전체이용가,Google Play,2025-01-16,직권등급재분류,청소년이용불가
RE-OM-250123-001,Combat Strike FPS shooter,Full HP Ltd,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-002,Combat Strike War: New Shooting Games 2021,Crown Envision,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-003,Zombie Cave 3D Shooter,GameGULF,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-004,Midtown Gangster Crime City,Odyssey Ventures,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-005,SWAT Tactical Shooter,Rocinante Games,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-006,Zombie Defense: Dark Way,Dmytro Kravtsov,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-007,Modern Warfare: Elite Forces,Boom Games Studio Inc,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-008,Fast Shooters,Yllka Camaj,4+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-009,Medieval Pixel Royale,Dmitrii Smirnov,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-010,Police Simulator: Gun War Duty,MH Production,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-011,Fps Commando Cover Strike Game,Mehtab Munawar jan,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-012,Lost City: Dead Survival Game,Saud Ahmed,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-013,Stickman Auto Police Theft War,Tariq Manzoor,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-014,Gangstar Crime Mafia City 3D,Muhammad Bilal,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-015,Osman Ghazi Warrior Legend,Munaim Shah,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-016,Gorilla Monster Forest Hunter,Aiza Saeed,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-017,Kaiju Gorilla Vice Town Attack,Hamza Shahzad,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-018,Wild Animal: Deer Hunting,PSV Studio,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-019,Monster Hunt- Medieval RPG,Shahbaz Haider,9+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-020,X Agent Shooter,nguyen trung,9+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-021,Mafia Simulator Game,Alsayed Alhawe,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-022,Animal Chasing: City Hunt 3D,Arbaz Ali,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-023,Horror Head Monster Hunt Game,Muhammad Ahsan,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-024,The Hunt Horror Multiplayer,Iftikhar Younis,12+,Apple,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-025,Hunter: 3D Zombie Games,MOHIT STUDIOZ,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-026,A Way To Slay - Fight And Turn-Based Puzzle,NoTriple-A Games,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-027,Scary Survival Horror Escape,Gaming Waves,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-028,WeCraft Strike,Branny Games,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-029,Jailbreak Fury,TopNotch Games,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-030,Zombie Apocalypse Survival War,ArGamesStu dio,전체이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-031,Grand Sniper: 3D Shooting Game,Survival Games Ltd,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-032,FPS Strike shooter: Gun Games,The Games pvt,전체이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-033,Archery Mini Challenge,KM Technology,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-034,Shooting 3D Offline: Gun Game,T-ActionGa mes,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-035,Playground Sandbox Ragdoll Sim,Garden of Dreams Games,전체이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-036,Enotria: The Last Song - Deluxe edition,Jyamma Games Srl,12세이용가,Sony,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-037,Zombie Uprising,Edy Software,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-038,BloodBox,Vavilichev,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-039,Delta Team: Operation Phoenix,WebDevi,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-040,Police Car Chase : Chor Police,The Dream Reveal,전체이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-041,AgentSteve: FPS Shooting Game,Ropstam Game Studio,12세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-042,Pusoy Club Chinese Poker,Fun Games Tech,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250123-043,Date Match 3D-Sexy Triple Game,Arbalest Studio,15세이용가,Google Play,2025-01-23,직권등급재분류,청소년이용불가
RE-OM-250116-032,승리의 여신: 니케,Level Infinite,12+,Apple,2025-01-16,등급조정,15세이용가
RE-OM-250123-044,밀리언아서 : 링,NewCubega mes,12세이용가,Apple,2025-01-23,등급조정,15세이용가
RE-OM-250123-045,에버소울,Kakao Games Corp.,12+,Apple,2025-01-23,등급조정,12세이용가
-,햄토피아 : 머지 드림 쇼핑몰,MOBIBRAIN TECHNOLO GY PTE. LTD.,전체이용가,Google Play,2025-01-09,등급취소,등급취소
-,햄토피아 : 머지 드림 쇼핑몰,MOBIBRAIN TECHNOLO GY PTE. LTD.,전체이용가,Apple,2025-01-09,등급취소,등급취소
-,Rainbow Diamond Block,Quick Boating Limited,12세이용가,Samsung Eelctronics,2025-01-09,등급취소,등급취소
-,RewardZ Earn Money Rewards,RewardZ Reward and Cash Inc,전체이용가,Google Play,2025-01-09,등급취소,등급취소
-,BitCoin Cards,PlayEmber Sp. z o.o.,전체이용가,Google Play,2025-01-09,등급취소,등급취소
-,로얄블록,주식회사 레브잇,전체이용가,-,2025-01-09,등급취소,등급취소
-,스도쿠:경품응모게 임 기프트카드 문화상품권 두뇌퍼즐,"Ohte, Inc.",전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Scratch And Win - 2023,hs series,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Bitcoin Pusher,PlayEmber Sp. z o.o.,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Ludo Rivals,3Plus Games,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Cash Monkey - Get Rewarded Now,Rayole Studios,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,dGamer - Games & Earn Money,GeniusDev.I nc,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Fun Trivia & Real Money Prizes,Aurora Brain,전체이용가,Google Play,2025-01-16,등급취소,등급취소
-,Sport Merge Fun,Pehlivan2,15세이용가,Google Play,2025-01-23,등급취소,등급취소
-,Skill Pinball,賭味十足,전체이용가,Google Play,2025-01-23,등급취소,등급취소
-,Diamond game - play and earn,Krishna Gupta,12세이용가,Samsung Eelctronics,2025-01-23,등급취소,등급취소
-,Macaron Paradise Game,Mein Gift,12세이용가,Google Play,2025-01-23,등급취소,등급취소
-,Dino Lucky Drop,Zeefun Studio,전체이용가,Google Play,2025-01-23,등급취소,등급취소
-,Trash Talk,Blackroom,전체이용가,Google Play,2025-01-23,등급취소,등급취소
-,Block Tower,abdalmouti noman,전체이용가,Google Play,2025-01-23,등급취소,등급취소
RE-OM-241205-001,Warface: Global Operations,My.com B.V.,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-002,Cop Duty Police Simulator 3D,17th Game Street,전체이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-003,Last of Shot: Zombie Survival,Vrata Games,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-004,FPS War Strike Gun Shooting 3d,Game Bus Studios,전체이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-005,Frontline Heroes: WW2 Warfare,Homa,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-006,Battleground Survival Gun Game,Asjad Ahmad,12+,Apple,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-007,Scary Nights Plush Toy Factory,Umer Farooq,12+,Apple,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-008,free for fire battle royale Pub Squad G Battleground Gun Fire Shooting Game,THE GAMITRON PRIVATE LIMITED,12세이용가,Samsung Eelctronics,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-009,American Modern War Pro Game,Gamezeniq Technologie s,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-010,Zombie Sniper: Shooting Game,SpaceStorm Gaming Studio,전체이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-011,Vehicle Master: Vice City,Motion Tech 2017,전체이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-012,Archery Master: Hero Battle,Sims Puzzle Games,12세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-013,Stars and Scars - gun games,Foram Studios,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-014,Mutilate a Ragdoll,Bacon studio,12세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-015,Ragdoll Mutilate 3D,Bacon studio,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-016,Spider Hero City : Fight Crime,AGX HERO GAME,전체이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-017,Gangster Crime Game 2024,SR Games Inc,12세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241205-018,President Simulator Life Game,Game Tap,15세이용가,Google Play,2024-12-05,직권등급재분류,청소년이용불가
RE-OM-241212-001,Zombie Island - FPS Shooter,Swag House,12세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
RE-OM-241212-002,DeadStrike - Zombie FPS,RePiola Games,12세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
RE-OM-241212-003,West Cowboy: Shooting Games,Team AS Studio Pvt Ltd,15세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
RE-OM-241212-004,CODE OF GATE,abdulmajee d alhajri,12세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
RE-OM-241212-005,Grand Monster Superhero Games,Global Games Studios (GGS),15세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
RE-OM-241212-006,Rage City Online-Gangster game,Small Crew Games Ent,12세이용가,Google Play,2024-12-12,직권등급재분류,청소년이용불가
